#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
1,2021/08/01,2020000000000000,39,48,350,1903.9,666365
2,2021/08/01,2020000000000000,17,48,10,1866.6,18666
3,2022/05/17,2020000000000000,45,54,21,1941.9,40779.9
4,2022/09/13,2020000000000000,38,13,10,2136,21360
5,2022/09/13,2020000000000000,13,13,10,2101.9,21019
6,2022/09/13,2020000000000000,20,13,10,2060.7,20607
7,2022/09/13,2020000000000000,56,13,10,2020.3,20203
8,2022/09/13,2020000000000000,14,13,12,1980.7,23768.4
9,2022/09/14,2020000000000000,1,13,10,2178.7,21787
10,2022/09/25,2020000000000000,48,1,10,2222.2,22222
11,2019/05/06,2019050601006650,17,5,10,1760,17600
12,2014/09/10,201409102260847,7,32,72,1660,119520
13,2019/05/06,2019050601006588,42,5,10,1726,17260
14,2014/09/10,201409102260835,7,32,10,1660,16600
15,2019/10/10,2019101001000342,42,5,124,1830,226920
16,2018/02/27,201802275810981,28,28,100,1693,169300
17,2014/08/26,201408262228815,19,19,840,1660,1394400
18,2019/10/10,2019101001000339,34,5,10,1795,17950
19,2016/11/15,201611154053675,28,28,100,1660,166000
